summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
lip82IrA6Nm5LFJftQYmfsODOYx9RmmqB0mgdM2Ma7LFBf8,BIS Bruno,211,I,191,130,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
82YCmLY4JY0cFvq5KU469Td2pyNnkMGowlCdl__PU1pajF4,192056114Jg,201,I,231,228,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
Mf-KQWGKvntTFwLn_lnGpncQ4avV5vjSdoDXKnJY6Ws4Hjs,peponkiller,99,I,164,146,TRUE,FALSE,FALSE,TRUE
,,,,,,,,,
oe0o-dOzlTwtVmu8Xzxzd6UUfpoo17Ubia-lp3Jchd_4920gkPWxlTnNoA,boncukpasha,31,I,110,102,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
lQGJMNEcqsAmCI-0FA7MdXw7wE3ORy4wco3kEd8KbfCVh33u,Longlost ,54,I,223,212,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,
ZLin1tSqmaaG8prjChswLXB7WFA5y3x_MAZdYIpKKs4pvAk,TRS Baxe,0,I,69,69,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
KI9yKjX3M9lVPhS6WlRAoHZ580YuaJkAStFPW6n6dxuGrK-6,NafpaktianFkBoi,112,I,181,140,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
ypnlAXfii76Ybr8UkREY54b_l1sO5onwgKHaBKrZ_Uxw1FyM,i deserve losing,56,I,201,210,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
Oqqa5pdcG6MkkYflqWFKf-yq-Eofx9xL_roy-DRWg6G9eKQ,Boots of Speed,50,I,39,34,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
On2ppjySaYzk2gBG-iZKO0tCnZ3Vo38GIBjkY-cgCJXrNIs,PRK SozXD,248,I,65,49,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
BcRTTIT8sATWsiUcRakiiZ5I03qqS_fDHVaNN93QZBDEIapt,lupicon,110,I,119,107,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
3oZVva-AFqkM5Xm0P3KmAyhMsitgn1C59Wlr1cIx04adVys,Chunkσ,0,I,150,121,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
12mwEH7GICBbix_Z_CuTYyLVRMhd0UiRdzkO5vpfuZEE-qE,Zαpdo,44,I,248,241,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
uPYdwx3Hk54OEMo5Km8o16tYJxRsfwWlq66iP_-H7K6vG-E,Kizuro Δ,27,I,105,107,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
oYTmhjBuea4zh1PTFumTzSt5RHl6qySlvPBv7B1bKQiqMrE,StormFury,134,I,111,101,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
xspScCSd6OuJu5us4e69Fn3CtQzMk00MiYJdD4djGwSNsBU,Pattarek LFT,43,I,107,112,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
4tIn7_ib01dI7SMeLVbYs5nOK1rFPFAHg3ZWojSPI5AE-Kk,Spirgius,34,I,245,215,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
lrgo_unSAfjCip-n92-To2tPD1iO3FCFwEAwciP3Ujeh5naF,TOP PETSOKOFTHS ,149,I,91,78,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
UsHE5r9frg1vpbsy2r5pD_QKTtpK24MZ6fRYut5tCTYOqIo,PusiWho,260,I,76,65,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
GwA0aom6eXdddcCRPXW5TlmSTjybRbBu0VOwhzhXRh2u3YJf,Ben Berko,1,I,64,55,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,
